,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
0,1,60,2,4.174387269895637,9.041921720351219,0,1,3,3,0,3,0,4,2,0,0,2,7,5,5,5,0,0,8,8,1,196.0,1,3,2,2,4,4,2,706,6,0,150,856,0,0,1,3,6.752270376141742,854,0,7.444248649496705,1,0,2,1,3,1,2,8,4,0,3,0,5.0,2,2,548,3,3,2,0,61,0,0,0,0,0,2,1,0,2,2008,3,2,12.247694320220994,0,0,0
1,2,20,2,4.382026634673881,9.169518377455928,0,1,3,3,0,2,0,16,1,0,0,1,6,8,31,31,0,0,4,4,2,0.0,3,3,1,2,4,1,0,978,6,0,284,1262,0,0,1,3,7.140453043101158,0,0,7.140453043101158,0,1,2,0,3,1,3,6,4,1,5,0,31.0,2,2,460,3,3,2,298,0,0,0,0,0,0,2,1,0,5,2007,3,2,12.109010932687042,0,0,0
2,3,60,2,4.219507705176107,9.328123407632566,0,1,0,3,0,3,0,4,2,0,0,2,7,5,7,6,0,0,8,8,1,162.0,1,3,2,2,4,3,2,486,6,0,434,920,0,0,1,3,6.824373670043086,866,0,7.487733761436444,1,0,2,1,3,1,2,6,4,1,5,0,7.0,2,2,608,3,3,2,0,42,0,0,0,0,0,2,1,0,9,2008,3,2,12.31716669303576,0,0,0
3,4,70,2,4.0943445622221,9.164296433474776,0,1,0,3,0,0,0,5,2,0,0,2,7,5,91,36,0,0,9,10,2,0.0,3,3,0,4,1,4,0,216,6,0,540,756,0,2,1,3,6.8679744089702925,756,0,7.448333860897476,1,0,1,0,3,1,2,7,4,1,2,3,8.0,3,3,642,3,3,2,0,35,272,0,0,0,0,2,1,0,2,2006,3,0,11.84939770159144,0,0,0
4,5,60,2,4.430816798843313,9.565213693968287,0,1,0,3,0,2,0,13,2,0,0,2,8,5,8,8,0,0,8,8,1,350.0,1,3,2,2,4,0,2,655,6,0,490,1145,0,0,1,3,7.0431599159883405,1053,0,7.6953031349635665,1,0,2,1,4,1,2,9,4,1,5,0,8.0,2,3,836,3,3,2,192,84,0,0,0,0,0,2,1,0,12,2008,3,2,12.429216196844383,0,0,0
5,6,50,2,4.442651256490317,9.55499334068759,0,1,0,3,0,3,0,10,2,0,0,0,5,5,16,14,0,0,8,8,2,0.0,3,3,3,2,4,4,2,732,6,0,64,796,0,0,1,3,6.679599185844383,566,0,7.216709486709457,1,0,1,1,1,1,3,5,4,0,3,0,16.0,3,2,480,3,3,2,40,30,0,320,0,0,0,3,0,700,10,2009,3,2,11.870599909242044,0,0,0
6,7,20,2,4.31748811353631,9.218705288307811,0,1,3,3,0,3,0,20,2,0,0,1,8,5,3,2,0,0,8,8,4,186.0,1,3,2,0,4,0,2,1369,6,0,317,1686,0,0,1,3,7.434847875211999,0,0,7.434847875211999,1,0,2,0,3,1,2,7,4,1,2,0,3.0,2,2,636,3,3,2,255,57,0,0,0,0,0,2,1,0,8,2007,3,2,12.634603026569334,0,0,0
7,8,60,2,4.23410650459726,9.247828816387175,0,1,0,3,0,0,0,12,3,0,0,2,7,6,36,36,0,0,3,3,4,240.0,3,3,1,2,4,3,0,859,1,32,216,1107,0,0,1,3,7.009408932708637,983,0,7.644919344958857,1,0,2,1,3,1,3,7,4,2,5,0,36.0,2,2,484,3,3,2,235,204,228,0,0,0,0,2,0,350,11,2009,3,2,12.206072645530174,1,0,0
8,9,50,3,3.9318256327243257,8.719317375506371,0,1,3,3,0,3,0,15,0,0,0,0,7,5,77,58,0,0,1,10,2,0.0,3,3,0,4,4,4,6,0,6,0,952,952,0,2,1,1,6.92951677076365,752,0,7.480992162869525,0,0,2,0,2,2,3,8,0,2,5,3,77.0,3,2,468,0,3,2,90,0,205,0,0,0,0,2,1,0,4,2008,3,0,11.77452020265869,0,0,0
9,10,190,2,3.912023005428146,8.911934336161426,0,1,3,3,0,0,0,2,0,1,1,3,5,6,69,58,0,0,4,4,2,0.0,3,3,0,4,4,4,2,851,6,0,140,991,0,0,1,3,6.981934677156389,0,0,6.981934677156389,1,0,1,0,2,2,3,5,4,2,5,0,69.0,2,1,205,2,3,2,0,4,0,0,0,0,0,2,1,0,1,2008,3,2,11.678439903447801,0,0,0
